date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:27:18	245759/245759	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/1.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/1.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:19	179245/179245	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/2.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/2.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:19	158008/158008	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/5.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/5.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:19	106411/106411	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/3.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/3.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:20	17625/17625	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/6.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/6.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:20	15360/15360	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/7.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/7.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:21	134584/134584	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/4.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/4.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:21	27714/27714	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/8.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/8.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:21	20226/20226	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/9.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/9.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:21	38504/38504	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/11.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/11.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:22	36529/36529	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/12.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/12.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:22	27958/27958	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/13.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/13.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:22	28129/28129	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/14.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/14.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:22	23866/23866	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/10.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/10.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:22	18288/18288	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/15.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/15.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:23	15222/15222	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/17.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/17.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:23	19584/19584	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/nft-images/16.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/nft-images/16.png	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:23	3034/3034	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20May%202023%2022:55:10%20GMT	https://spruko.com/demo/ynex/dist/assets/js/nft-dashboard.js	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/js/nft-dashboard.js	(from https://spruko.com/demo/ynex/dist/html/index-4.html)
07:27:24	5751/5751	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20May%202023%2022:55:10%20GMT	https://spruko.com/demo/ynex/dist/assets/js/sales-dashboard.js	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/js/sales-dashboard.js	(from https://spruko.com/demo/ynex/dist/html/index-5.html)
07:27:24	40744/40744	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/media/media-84.png	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/media/media-84.png	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
07:27:24	11682/11682	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/flags/mexico_flag.jpg	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/flags/mexico_flag.jpg	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
07:27:25	11029/11029	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/flags/china_flag.jpg	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/flags/china_flag.jpg	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
07:27:25	13725/13725	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20May%202023%2022:54:32%20GMT	https://spruko.com/demo/ynex/dist/assets/images/flags/canada_flag.jpg	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/images/flags/canada_flag.jpg	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
07:27:26	150941/150941	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20May%202023%2022:54:34%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/moment/moment.js	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/libs/moment/moment.js	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
07:27:26	12386/12386	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20May%202023%2022:55:06%20GMT	https://spruko.com/demo/ynex/dist/assets/js/analytics-dashboard.js	C:/My%20Web%20Sites/Project%20Test/spruko.com/demo/ynex/dist/assets/js/analytics-dashboard.js	(from https://spruko.com/demo/ynex/dist/html/index-6.html)
